task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	f3/9dffca	710951	ABPROVLAB_QCFLOW:QCFLOW_HYBRID:QC_NANOPORE:HTML_COPYDIR (1)	CACHED	0	2025-12-10 12:11:26.782	210ms	109ms	31.7%	3 MB	12.7 MB	4.4 MB	4.3 MB
1	0d/94d753	711021	ABPROVLAB_QCFLOW:QCFLOW_HYBRID:QC_ILLUMINA:HTML_COPYDIR (1)	CACHED	0	2025-12-10 12:11:26.808	210ms	115ms	23.5%	3 MB	12.7 MB	4.4 MB	4.3 MB
11	87/5cbb13	711063	ABPROVLAB_QCFLOW:QCFLOW_HYBRID:QC_ILLUMINA:SEQKIT_STATS_INPUT (test1)	CACHED	0	2025-12-10 12:11:26.822	715ms	0ms	69.1%	13.4 MB	1.2 GB	13.6 MB	6.8 MB
5	a1/170ee0	711112	ABPROVLAB_QCFLOW:QCFLOW_HYBRID:QC_NANOPORE:SEQKIT_STATS_INPUT (test1)	CACHED	0	2025-12-10 12:11:26.836	1.2s	0ms	31.7%	11.3 MB	1.2 GB	33.2 MB	16.5 MB
13	98/cd9b32	710976	ABPROVLAB_QCFLOW:QCFLOW_HYBRID:QC_ILLUMINA:SEQKIT_STATS_INPUT (test2)	CACHED	0	2025-12-10 12:11:26.795	728ms	0ms	61.6%	19.2 MB	1.2 GB	13.6 MB	6.7 MB
9	b8/c57a15	710875	ABPROVLAB_QCFLOW:QCFLOW_HYBRID:QC_NANOPORE:SEQKIT_STATS_INPUT (test2)	CACHED	0	2025-12-10 12:11:26.733	1.3s	0ms	31.9%	17.4 MB	1.2 GB	41.5 MB	20.7 MB
8	45/b4f988	711705	ABPROVLAB_QCFLOW:QCFLOW_HYBRID:QC_ILLUMINA:FASTQC_INPUT (test2)	CACHED	0	2025-12-10 12:11:27.032	4.4s	4s	182.2%	376 MB	5.4 GB	13.5 MB	3.8 MB
4	76/b76959	713467	ABPROVLAB_QCFLOW:QCFLOW_HYBRID:QC_ILLUMINA:FASTQC_INPUT (test1)	CACHED	0	2025-12-10 12:11:28.091	4s	4s	169.7%	355.1 MB	5.4 GB	13.3 MB	3.7 MB
10	f7/75b3a7	710897	ABPROVLAB_QCFLOW:QCFLOW_HYBRID:QC_NANOPORE:NANOPLOT_INPUT (test2)	CACHED	0	2025-12-10 12:11:26.753	13.8s	13s	116.4%	273.6 MB	7.9 GB	164.7 MB	680.8 KB
6	0c/eb0402	710921	ABPROVLAB_QCFLOW:QCFLOW_HYBRID:QC_NANOPORE:NANOPLOT_INPUT (test1)	CACHED	0	2025-12-10 12:11:26.768	13.3s	12s	122.0%	262.9 MB	6.5 GB	163.2 MB	683.6 KB
7	a3/402c81	711210	ABPROVLAB_QCFLOW:QCFLOW_HYBRID:QC_NANOPORE:FASTPLONG (test2)	CACHED	0	2025-12-10 12:11:26.860	2s	1s	173.5%	229.2 MB	532.9 MB	18.9 MB	12.6 MB
3	07/bef80a	711293	ABPROVLAB_QCFLOW:QCFLOW_HYBRID:QC_NANOPORE:FASTPLONG (test1)	CACHED	0	2025-12-10 12:11:26.887	2.1s	1s	154.0%	225 MB	532.6 MB	15.9 MB	11.3 MB
12	b5/dc3805	713115	ABPROVLAB_QCFLOW:QCFLOW_HYBRID:QC_ILLUMINA:FASTP (test1)	CACHED	0	2025-12-10 12:11:27.554	7.6s	7s	101.4%	643.7 MB	1 GB	5.7 MB	2.1 MB
14	b5/7dd298	714455	ABPROVLAB_QCFLOW:QCFLOW_HYBRID:QC_ILLUMINA:FASTP (test2)	CACHED	0	2025-12-10 12:11:28.917	7.1s	6s	100.7%	1.1 GB	1.6 GB	5.8 MB	2.1 MB
